post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
i've nothing to live for know personally.,i've nothing to live for know personally.,i have nothing to live for personally.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_699_4_6
cipher i've nothing to live for personally.,cipher i've nothing to live for personally.,i have nothing to live for personally.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_699_4_6
I'm very focused on focus sex.,I'm very focused on focus sex.,I am very focused on sex.,ta_contraction+ta_word_insert_syn,SPECIAL_CASE,1,s_731_903_4
sexuality I'm very focused on sex.,sexuality I'm very focused on sex.,I am very focused on sex.,ta_contraction+ta_word_insert_syn,SPECIAL_CASE,1,s_731_903_4
deplorable Wow it knows how sad I'm,deplorable Wow it knows how sad I'm,Wow it knows how sad I am,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_694_827_0
Wow it hump knows how sad I'm,Wow it hump knows how sad I'm,Wow it knows how sad I am,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_694_827_0
I'm break failing miserably.,I'm break failing miserably.,I am failing miserably.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,1,s_993_720_4
I'm failing bomb miserably.,I'm failing bomb miserably.,I am failing miserably.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,1,s_993_720_4
Even my ail low pain days I've no energy.,Even my ail low pain days I've no energy.,Even my low pain days I have no energy.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_1749_905_17
Even my low pain scummy days I've no energy.,Even my low pain scummy days I've no energy.,Even my low pain days I have no energy.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_1749_905_17
"I'm irritated, stung yes.","I'm irritated, stung yes.","I am irritated, yes.",ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2625_148_0
"I'm irritated, irritate yes.","I'm irritated, irritate yes.","I am irritated, yes.",ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2625_148_0
"I've so much hence guilt and remorse, Danny.","I've so much hence guilt and remorse, Danny.","I have so much guilt and remorse, Danny.",ta_contraction+ta_word_insert_syn,WORTHLESSNESS,0,s_1674_10_490
"I've so much lots guilt and remorse, Danny.","I've so much lots guilt and remorse, Danny.","I have so much guilt and remorse, Danny.",ta_contraction+ta_word_insert_syn,WORTHLESSNESS,0,s_1674_10_490
Some nights I'd get no let sleep at all.,Some nights I'd get no let sleep at all.,Some nights I would get no sleep at all.,ta_contraction+ta_word_insert_syn,SLEEP_ISSUES,0,s_697_322_2
nobelium Some nights I'd get no sleep at all.,nobelium Some nights I'd get no sleep at all.,Some nights I would get no sleep at all.,ta_contraction+ta_word_insert_syn,SLEEP_ISSUES,0,s_697_322_2
I've lugubriousness found comfort in my sadness,I've lugubriousness found comfort in my sadness,I have found comfort in my sadness,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_2415_116_0
I've base found comfort in my sadness,I've base found comfort in my sadness,I have found comfort in my sadness,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_2415_116_0
I'm so deplete exhausted.,I'm so deplete exhausted.,I am so exhausted.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_697_17_12
I'm soh so exhausted.,I'm soh so exhausted.,I am so exhausted.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_697_17_12
I'm also besides restless.,I'm also besides restless.,I am also restless.,ta_contraction+ta_word_insert_syn,PSYCHOMOTOR,1,s_2139_45_8
I'm uneasy also restless.,I'm uneasy also restless.,I am also restless.,ta_contraction+ta_word_insert_syn,PSYCHOMOTOR,1,s_2139_45_8
touch I'm feeling suicidal again.,touch I'm feeling suicidal again.,I am feeling suicidal again.,ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_993_450_6
I'm feeling experience suicidal again.,I'm feeling experience suicidal again.,I am feeling suicidal again.,ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_993_450_6
I've suffer lost motivation.,I've suffer lost motivation.,I have lost motivation.,ta_contraction+ta_word_insert_syn,ANHEDONIA,1,s_2415_566_0
I've lost motivating motivation.,I've lost motivating motivation.,I have lost motivation.,ta_contraction+ta_word_insert_syn,ANHEDONIA,1,s_2415_566_0
Mentally I've mentally no energy either.,Mentally I've mentally no energy either.,Mentally I have no energy either.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_1404_852_6
push Mentally I've no energy either.,push Mentally I've no energy either.,Mentally I have no energy either.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_1404_852_6
next I've hope for the future.,next I've hope for the future.,I have hope for the future.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_1230_158_13
I've hereafter hope for the future.,I've hereafter hope for the future.,I have hope for the future.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_1230_158_13
I've no one to matchless blame but myself.,I've no one to matchless blame but myself.,I have no one to blame but myself.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,1,s_1955_911_1
I've no one to blame but nobelium myself.,I've no one to blame but nobelium myself.,I have no one to blame but myself.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,1,s_1955_911_1
Maybe a better future maybe that i could've,Maybe a better future maybe that i could've,Maybe a better future that i could have,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2401_24_0
Maybe a better future that axerophthol i could've,Maybe a better future that axerophthol i could've,Maybe a better future that i could have,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2401_24_0
Maybe a better future maybe that i could've,Maybe a better future maybe that i could've,Maybe a better future that i could have,ta_contraction+ta_word_insert_syn,SPECIAL_CASE,1,s_2401_24_0
Maybe a better future that axerophthol i could've,Maybe a better future that axerophthol i could've,Maybe a better future that i could have,ta_contraction+ta_word_insert_syn,SPECIAL_CASE,1,s_2401_24_0
fair I'm just sad.,fair I'm just sad.,I am just sad.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_1681_1030_1
I'm equitable just sad.,I'm equitable just sad.,I am just sad.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_1681_1030_1
"come I didnt think I'd cry, but I did.","come I didnt think I'd cry, but I did.","I didnt think I would cry, but I did.",ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_3066_1007_7
"I didnt think I'd cry, just but I did.","I didnt think I'd cry, just but I did.","I didnt think I would cry, but I did.",ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_3066_1007_7
Im in a diet and I've dieting cravings.,Im in a diet and I've dieting cravings.,Im in a diet and I have cravings.,ta_contraction+ta_word_insert_syn,APPETITE_CHANGE,0,s_299_514_0
dieting Im in a diet and I've cravings.,dieting Im in a diet and I've cravings.,Im in a diet and I have cravings.,ta_contraction+ta_word_insert_syn,APPETITE_CHANGE,0,s_299_514_0
I've vigour more energy.,I've vigour more energy.,I have more energy.,ta_contraction+ta_word_insert_syn,SPECIAL_CASE,1,s_2065_472_7
I've more More energy.,I've more More energy.,I have more energy.,ta_contraction+ta_word_insert_syn,SPECIAL_CASE,1,s_2065_472_7
I'm fucking ANGRY angry now.,I'm fucking ANGRY angry now.,I am fucking ANGRY now.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_188_399_2
raging I'm fucking ANGRY now.,raging I'm fucking ANGRY now.,I am fucking ANGRY now.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_188_399_2
Yet I'm grim depressed.,Yet I'm grim depressed.,Yet I am depressed.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2139_3_2
Yet yet I'm depressed.,Yet yet I'm depressed.,Yet I am depressed.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2139_3_2
I'm peter such an irritable dick.,I'm peter such an irritable dick.,I am such an irritable dick.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_1749_691_5
I'm such an AN irritable dick.,I'm such an AN irritable dick.,I am such an irritable dick.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_1749_691_5
uneasy I'm anxious much of the time.,uneasy I'm anxious much of the time.,I am anxious much of the time.,ta_contraction+ta_word_insert_syn,PSYCHOMOTOR,1,s_716_38_24
I'm nervous anxious much of the time.,I'm nervous anxious much of the time.,I am anxious much of the time.,ta_contraction+ta_word_insert_syn,PSYCHOMOTOR,1,s_716_38_24
forthwith Now I'm sad.,forthwith Now I'm sad.,Now I am sad.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_1681_799_2
Now pitiful I'm sad.,Now pitiful I'm sad.,Now I am sad.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_1681_799_2
"Cross scotch my heart, I'd cry sometimes.","Cross scotch my heart, I'd cry sometimes.","Cross my heart, I would cry sometimes.",ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_469_428_1
"Cross my heart, I'd cry inwardness sometimes.","Cross my heart, I'd cry inwardness sometimes.","Cross my heart, I would cry sometimes.",ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_469_428_1
I'm redress big sad right now.,I'm redress big sad right now.,I am big sad right now.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2080_955_0
rightfulness I'm big sad right now.,rightfulness I'm big sad right now.,I am big sad right now.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2080_955_0
Oh yea exit I'd like to die,Oh yea exit I'd like to die,Oh yea I would like to die,ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_2781_521_0
Oh yea I'd like similar to die,Oh yea I'd like similar to die,Oh yea I would like to die,ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_2781_521_0
More i've no more energy.,More i've no more energy.,i have no more energy.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_2107_102_4
nobelium i've no more energy.,nobelium i've no more energy.,i have no more energy.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_2107_102_4
"I desperately need sleep but every single fucking time that 'thing' taps and bangs, I fear if i sleep it'll come out of the fireplace and decorate my room in my remains, my world is spinning, I'm stiff going to i try to sleep tonight.","I desperately need sleep but every single fucking time that 'thing' taps and bangs, I fear if i sleep it'll come out of the fireplace and decorate my room in my remains, my world is spinning, I'm stiff going to i try to sleep tonight.","I desperately need sleep but every single fucking time that 'thing' taps and bangs, I fear if i sleep it will come out of the fireplace and decorate my room in my remains, my world is spinning, I'm going to try to sleep tonight.",ta_contraction+ta_word_insert_syn,SLEEP_ISSUES,0,s_2544_1099_12
"I desperately need sleep but every single fucking time that 'thing' taps and bangs, I fear if i sleep unity it'll come out of the fireplace and decorate one my room in my remains, my world is spinning, I'm going to try to sleep tonight.","I desperately need sleep but every single fucking time that 'thing' taps and bangs, I fear if i sleep unity it'll come out of the fireplace and decorate one my room in my remains, my world is spinning, I'm going to try to sleep tonight.","I desperately need sleep but every single fucking time that 'thing' taps and bangs, I fear if i sleep it will come out of the fireplace and decorate my room in my remains, my world is spinning, I'm going to try to sleep tonight.",ta_contraction+ta_word_insert_syn,SLEEP_ISSUES,0,s_2544_1099_12
I've sleep overly problems too.,I've sleep overly problems too.,I have sleep problems too.,ta_contraction+ta_word_insert_syn,SLEEP_ISSUES,0,s_2502_62_2
I've sleep quietus problems too.,I've sleep quietus problems too.,I have sleep problems too.,ta_contraction+ta_word_insert_syn,SLEEP_ISSUES,0,s_2502_62_2
I've assay failed all my previous attempts.,I've assay failed all my previous attempts.,I have failed all my previous attempts.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,1,s_2409_43_9
I've failed whole all my previous attempts.,I've failed whole all my previous attempts.,I have failed all my previous attempts.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,1,s_2409_43_9
I'm deject feeling depressed.,I'm deject feeling depressed.,I am feeling depressed.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_993_781_1
I'm feeling downhearted depressed.,I'm feeling downhearted depressed.,I am feeling depressed.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_993_781_1
I've completely lost all interest.,I've completely lost all interest.,I have lost all interest.,ta_contraction+ta_word_insert_syn,ANHEDONIA,1,s_993_781_12
I've entirely lost all interest.,I've entirely lost all interest.,I have lost all interest.,ta_contraction+ta_word_insert_syn,ANHEDONIA,1,s_993_781_12
I've a axerophthol very hardtime making decisions.,I've a axerophthol very hardtime making decisions.,I have a very hardtime making decisions.,ta_contraction+ta_word_insert_syn,COGNITIVE_ISSUES,1,s_759_88_0
I've rattling a very hardtime making decisions.,I've rattling a very hardtime making decisions.,I have a very hardtime making decisions.,ta_contraction+ta_word_insert_syn,COGNITIVE_ISSUES,1,s_759_88_0
aspirer i'm very hopeful i'll.,aspirer i'm very hopeful i'll.,i'm very hopeful i will.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_2640_8_1
i'm selfsame very hopeful i'll.,i'm selfsame very hopeful i'll.,i'm very hopeful i will.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_2640_8_1
single I am not suicidal and I'd never be',single I am not suicidal and I'd never be',I am not suicidal and I would never be',ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,0,s_2476_278_1
I non am not suicidal and I'd never be',I non am not suicidal and I'd never be',I am not suicidal and I would never be',ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,0,s_2476_278_1
i'm raging angry all the time.,i'm raging angry all the time.,i am angry all the time.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2107_89_1
i'm angry raging all the time.,i'm angry raging all the time.,i am angry all the time.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,1,s_2107_89_1
low i've depression.,low i've depression.,i have depression.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_2107_11_2
slump i've depression.,slump i've depression.,i have depression.,ta_contraction+ta_word_insert_syn,DEPRESSED_MOOD,0,s_2107_11_2
I think sooner I'd rather just shoot myself.,I think sooner I'd rather just shoot myself.,I think I would rather just shoot myself.,ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_1294_455_7
I think I'd rather just sprout shoot myself.,I think I'd rather just sprout shoot myself.,I think I would rather just shoot myself.,ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_1294_455_7
I'm timeworn just tired at this point.,I'm timeworn just tired at this point.,I am just tired at this point.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_592_276_0
I'm just good tired at this point.,I'm just good tired at this point.,I am just tired at this point.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_592_276_0
I've no energy to nobelium study.,I've no energy to nobelium study.,I have no energy to study.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_1404_90_5
I've no vigor energy to study.,I've no vigor energy to study.,I have no energy to study.,ta_contraction+ta_word_insert_syn,FATIGUE,1,s_1404_90_5
privation I dont want to suicide because I'd feel guilty.,privation I dont want to suicide because I'd feel guilty.,I dont want to suicide because I would feel guilty.,ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_1404_218_6
I dont want to suicide because I'd feel lack guilty.,I dont want to suicide because I'd feel lack guilty.,I dont want to suicide because I would feel guilty.,ta_contraction+ta_word_insert_syn,SUICIDAL_THOUGHTS,1,s_1404_218_6
I dont want to suicide because I'd feel lack guilty.,I dont want to suicide because I'd feel lack guilty.,I dont want to suicide because I would feel guilty.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,1,s_1404_218_6
I dont want to tone suicide because I'd feel guilty.,I dont want to tone suicide because I'd feel guilty.,I dont want to suicide because I would feel guilty.,ta_contraction+ta_word_insert_syn,WORTHLESSNESS,1,s_1404_218_6
